DATE,WM2NS
2012-02-06,9762.1
2012-02-13,9789.3
2012-02-20,9789.0
2012-02-27,9774.4
2012-03-05,9885.3
2012-03-12,9906.5
2012-03-19,9901.7
2012-03-26,9864.4
2012-04-02,9957.4
2012-04-09,10022.9
2012-04-16,10024.2
2012-04-23,9886.2
2012-04-30,9834.6
2012-05-07,9903.8
2012-05-14,9901.8
2012-05-21,9874.7
2012-05-28,9842.9
2012-06-04,9936.9
2012-06-11,9985.0
2012-06-18,9984.2
2012-06-25,9887.6
2012-07-02,9987.8
2012-07-09,10040.3
2012-07-16,10033.5
2012-07-23,9955.7
2012-07-30,9971.4
2012-08-06,10065.9
2012-08-13,10086.9
2012-08-20,10060.4
2012-08-27,10030.9
2012-09-03,10129.0
2012-09-10,10175.5
2012-09-17,10195.9
2012-09-24,10093.1
2012-10-01,10194.1
2012-10-08,10238.8
2012-10-15,10270.8
2012-10-22,10207.3
2012-10-29,10217.7
2012-11-05,10370.8
2012-11-12,10338.4
2012-11-19,10336.4
2012-11-26,10308.9
2012-12-03,10408.3
2012-12-10,10459.4
2012-12-17,10524.0
2012-12-24,10546.8
2012-12-31,10613.0
2013-01-07,10627.6
2013-01-14,10559.4
2013-01-21,10472.1
2013-01-28,10395.3
2013-02-04,10461.8
2013-02-11,10483.9
2013-02-18,10477.6
2013-02-25,10445.7
2013-03-04,10569.2
2013-03-11,10596.4
2013-03-18,10624.5
2013-03-25,10579.1
2013-04-01,10717.7
2013-04-08,10716.7
2013-04-15,10737.6
2013-04-22,10626.6
2013-04-29,10529.1
2013-05-06,10590.6
2013-05-13,10595.4
2013-05-20,10568.2
2013-05-27,10536.4
2013-06-03,10631.3
2013-06-10,10664.9
2013-06-17,10670.9
2013-06-24,10557.6
2013-07-01,10668.0
2013-07-08,10703.5
2013-07-15,10699.7
2013-07-22,10658.1
2013-07-29,10645.0
2013-08-05,10746.8
2013-08-12,10746.6
2013-08-19,10725.0
2013-08-26,10694.5
2013-09-02,10772.2
2013-09-09,10812.8
2013-09-16,10818.5
2013-09-23,10755.1
2013-09-30,10823.9
2013-10-07,10899.5
2013-10-14,10952.6
2013-10-21,10973.2
2013-10-28,10893.9
2013-11-04,10974.7
2013-11-11,10958.0
2013-11-18,10980.2
2013-11-25,10938.5
2013-12-02,11026.5
2013-12-09,11070.5
2013-12-16,11095.2
2013-12-23,11114.1
2013-12-30,11125.6
2014-01-06,11176.3
2014-01-13,11128.7
2014-01-20,11098.1
2014-01-27,11030.4
2014-02-03,11086.1
2014-02-10,11135.2
2014-02-17,11184.0
2014-02-24,11132.9
2014-03-03,11204.8
2014-03-10,11258.4
2014-03-17,11297.2
2014-03-24,11255.1
2014-03-31,11301.8
2014-04-07,11378.8
2014-04-14,11402.5
